,Year,Rank,Title,Artist,compound,pos,neg,neu
108,2016,9,Can't Stop The Feeling!,Justin Timberlake,0.9987,0.225,0.012,0.763
109,2016,10,Closer,The Chainsmokers Featuring Halsey,0.947,0.053,0.033,0.914
110,2016,11,Cheap Thrills,Sia Featuring Sean Paul,0.947,0.053,0.033,0.914
111,2016,12,7 Years,Lukas Graham,0.9921,0.125,0.041,0.834
112,2016,13,Needed Me,Rihanna,-0.9944,0.059,0.205,0.736
113,2016,14,My House,Flo Rida,0.9962,0.156,0.015,0.829
114,2016,15,I Took A Pill In Ibiza,Mike Posner,0.6116,0.134,0.116,0.75
115,2016,16,Work From Home,Fifth Harmony Featuring Ty Dolla $ign,0.9784,0.095,0.033,0.873
116,2016,17,This Is What You Came For,Calvin Harris Featuring Rihanna,-0.6908,0.026,0.052,0.922
117,2016,18,Cake By The Ocean,DNCE,-0.7883,0.115,0.138,0.747
118,2016,19,"Me, Myself & I",G-Eazy x Bebe Rexha,0.9938,0.098,0.07,0.833
119,2016,20,Ride,twenty one pilots,0.899,0.087,0.062,0.851
120,2016,21,Heathens,twenty one pilots,0.9912,0.16,0.047,0.794
121,2016,22,Pillowtalk,Zayn,-0.9831,0.238,0.299,0.463
122,2016,23,Stitches,Shawn Mendes,-0.9773,0.094,0.143,0.763
123,2016,24,Hotline Bling,Drake,0.9916,0.111,0.019,0.87
124,2016,25,Cold Water,Major Lazer Featuring Justin Bieber & MO,-0.3071,0.055,0.072,0.874
125,2016,26,Send My Love (To Your New Lover),Adele,0.9994,0.342,0.012,0.646
126,2016,27,Roses,The Chainsmokers Featuring Rozes,0.4215,0.016,0.009,0.975
127,2016,28,Treat You Better,Shawn Mendes,0.986,0.222,0.112,0.666
128,2016,29,Too Good,Drake Featuring Rihanna,0.9949,0.242,0.11,0.647
129,2016,30,Low Life,Future Featuring The Weeknd,-0.998,0.08,0.172,0.748
130,2016,32,The Hills,The Weeknd,-0.9932,0.117,0.177,0.706
131,2016,33,Just Like Fire,P!nk,0.9035,0.143,0.12,0.737
132,2016,34,Broccoli,D.R.A.M. Featuring Lil Yachty,-0.7699,0.112,0.108,0.78
133,2016,35,Don't,Bryson Tiller,-0.9653,0.083,0.112,0.805
134,2016,36,Dangerous Woman,Ariana Grande,0.9844,0.163,0.059,0.778
135,2016,37,Jumpman,Drake & Future,0.9942,0.157,0.058,0.784
136,2016,38,I Hate U I Love U,gnash Featuring Olivia O'Brien,-0.3199,0.189,0.212,0.599
137,2016,39,Here,Alessia Cara,0.9896,0.131,0.05,0.82
138,2016,40,Same Old Love,Selena Gomez,0.9913,0.237,0.176,0.587
139,2016,41,Controlla,Drake,0.9915,0.185,0.062,0.753
140,2016,42,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend,0.9943,0.224,0.124,0.652
141,2016,43,One Call Away,Charlie Puth,0.9892,0.187,0.037,0.776
142,2016,44,Let It Go,James Bay,-0.7368,0.044,0.07,0.886
143,2016,45,No,Meghan Trainor,-0.9984,0.068,0.235,0.697
144,2016,46,Never Forget You,Zara Larsson & MNEK,-0.9907,0.127,0.164,0.71
145,2016,47,Let Me Love You,DJ Snake Featuring Justin Bieber,0.9854,0.196,0.197,0.607
146,2016,48,Don't Mind,Kent Jones,0.9852,0.126,0.057,0.816
147,2016,49,H.O.L.Y.,Florida Georgia Line,0.9771,0.131,0.047,0.823
148,2016,50,We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,-0.9937,0.034,0.134,0.832
149,2014,1,Happy,Pharrell Williams,0.9982,0.207,0.031,0.762
150,2014,2,Dark Horse,Katy Perry Featuring Juicy J,0.997,0.139,0.008,0.852
151,2014,3,All Of Me,John Legend,0.9812,0.152,0.103,0.745
152,2014,4,Fancy,Iggy Azalea Featuring Charli XCX,0.9008,0.097,0.058,0.845
153,2014,5,Counting Stars,OneRepublic,-0.9892,0.069,0.139,0.792
154,2014,6,Talk Dirty,Jason Derulo Featuring 2 Chainz,-0.9392,0.082,0.114,0.804
155,2014,7,Rude,MAGIC!,-0.996,0.116,0.212,0.672
156,2014,8,All About That Bass,Meghan Trainor,-0.5842,0.089,0.108,0.803
157,2014,9,Problem,Ariana Grande Featuring Iggy Azalea,0.997,0.139,0.008,0.852
158,2014,10,Stay With Me,Sam Smith,0.9873,0.228,0.1,0.671
159,2014,11,Timber,Pitbull Featuring Ke$ha,0.9996,0.113,0.08,0.806
160,2014,12,Pompeii,Bastille,0.9889,0.131,0.035,0.834
161,2014,13,Shake It Off,Taylor Swift,-0.9995,0.083,0.371,0.546
162,2014,14,Am I Wrong,Nico & Vinz,-0.9885,0.114,0.152,0.734
163,2014,15,Turn Down For What,DJ Snake & Lil Jon,-0.924,0.0,0.1,0.9
164,2014,16,The Monster,Eminem Featuring Rihanna,0.9008,0.097,0.058,0.845
165,2014,17,Say Something,A Great Big World & Christina Aguilera,0.9952,0.274,0.012,0.714
166,2014,18,Team,Lorde,0.843,0.104,0.073,0.823
167,2014,19,Let Her Go,Passenger,0.9735,0.147,0.117,0.736
168,2014,20,Royals,Lorde,0.9725,0.109,0.057,0.834
169,2014,21,Let It Go,Idina Menzel,0.465,0.11,0.097,0.793
170,2014,22,Wake Me Up!,Avicii,0.9863,0.182,0.019,0.799
171,2014,23,Demons,Imagine Dragons,-0.942,0.057,0.135,0.808
172,2014,24,Story Of My Life,One Direction,0.8833,0.085,0.055,0.86
173,2014,25,Chandelier,Sia,0.9659,0.102,0.053,0.845
174,2014,26,Black Widow,Iggy Azalea Featuring Rita Ora,0.9988,0.227,0.065,0.708
175,2014,27,Bang Bang,"Jessie J, Ariana Grande & Nicki Minaj",0.9677,0.067,0.023,0.91
176,2014,28,Latch,Disclosure Featuring Sam Smith,0.987,0.111,0.008,0.881
177,2014,29,Maps,Maroon 5,-0.9877,0.026,0.101,0.873
178,2014,31,Best Day Of My Life,American Authors,0.9936,0.172,0.03,0.798
179,2014,32,Habits (Stay High),Tove Lo,-0.6527,0.077,0.1,0.822
180,2014,33,Summer,Calvin Harris,0.8868,0.098,0.035,0.867
181,2014,34,Boom Clap,Charli XCX,0.9884,0.104,0.021,0.874
182,2014,35,Drunk In Love,Beyonce Featuring Jay Z,0.9973,0.184,0.083,0.733
183,2014,36,Anaconda,Nicki Minaj,-0.9988,0.049,0.184,0.767
184,2014,37,Break Free,Ariana Grande Featuring Zedd,0.9862,0.214,0.081,0.705
185,2014,38,Bailando,Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,-0.9804,0.009,0.086,0.905
186,2014,39,Burn,Ellie Goulding,-0.7475,0.109,0.134,0.758
187,2014,40,Wiggle,Jason Derulo Featuring Snoop Dogg,0.9479,0.081,0.052,0.868
188,2014,41,Rather Be,Clean Bandit Featuring Jess Glynne,0.3382,0.022,0.016,0.962
