Year,Rank,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
2011,45,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002
2011,46,0.413,0.807,11,-3.499,0,0.318,0.0536,0.0,0.631,0.438,149.33
2011,47,0.668,0.857,7,-2.944,0,0.0535,0.0191,6.71e-06,0.0385,0.748,131.959
2011,48,0.705,0.882,11,-3.201,0,0.0445,0.000369,1.16e-06,0.0934,0.7,130.0
2011,49,0.475,0.882,11,-3.883,1,0.351,0.406,0.0,0.241,0.369,98.001
2011,50,0.594,0.946,3,-4.521,1,0.452,0.0869,0.0,0.306,0.397,155.826
2011,51,0.531,0.752,1,-6.161,1,0.0305,0.0421,0.0,0.12,0.103,89.917
2011,52,0.744,0.672,9,-5.589,0,0.0418,0.187,0.000123,0.105,0.266,140.889
2011,53,0.773,0.736,9,-5.589,1,0.0383,0.0335,0.0184,0.104,0.212,127.056
2011,54,0.349,0.348,3,-6.142,1,0.0316,0.726,0.0,0.12,0.0886,74.541
2011,55,0.523,0.805,3,-5.473,1,0.192,0.0524,0.0,0.0914,0.602,125.358
2011,56,0.707,0.861,7,-4.225,1,0.316,0.1,0.0,0.191,0.795,130.021
2011,57,0.664,0.845,4,-6.115,0,0.0461,0.181,0.0,0.267,0.357,96.005
2011,58,0.531,0.803,1,-3.284,1,0.0717,0.0796,1.71e-05,0.176,0.221,142.113
2011,59,0.648,0.722,0,-4.813,0,0.0427,0.0103,0.0,0.24,0.389,132.973
2011,60,0.551,0.893,7,-2.628,1,0.0543,0.00166,0.0,0.348,0.794,125.083
2011,61,0.578,0.926,6,-3.689,0,0.0548,0.00472,0.0127,0.14,0.877,149.976
2011,62,0.644,0.945,7,-3.534,1,0.0717,0.0587,0.0,0.184,0.573,91.017
2011,63,0.844,0.601,1,-5.283,1,0.157,0.0205,0.0,0.385,0.331,73.989
2011,64,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963
2011,65,0.396,0.629,9,-4.78,1,0.0287,0.0328,0.0,0.183,0.358,173.794
2011,66,0.481,0.849,4,-5.131,1,0.0385,0.00167,1.49e-06,0.121,0.723,205.57
2011,67,0.445,0.631,11,-4.798,1,0.0304,0.129,0.0,0.0911,0.152,143.846
2011,68,0.734,0.766,1,-4.485,1,0.0383,0.025,0.00138,0.108,0.6,127.986
2011,69,0.666,0.87,11,-5.004,0,0.246,0.203,0.0,0.0851,0.9,160.014
2011,70,0.518,0.709,2,-5.234,1,0.0476,0.075,0.0,0.0935,0.514,127.083
2011,71,0.435,0.837,3,-8.126,1,0.449,0.00676,0.0,0.117,0.778,124.913
2011,72,0.608,0.614,2,-3.727,1,0.0285,0.227,3.82e-06,0.157,0.402,127.885
2011,73,0.529,0.67,2,-4.663,1,0.0303,0.117,0.0,0.334,0.286,141.893
2011,74,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34e-06,0.134,0.591,120.011
2011,75,0.366,0.651,4,-3.842,1,0.031,0.000415,0.00526,0.271,0.257,151.343
2011,76,0.576,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.981
2011,77,0.682,0.927,4,-2.915,1,0.0479,0.0843,0.0,0.149,0.744,101.019
2011,78,0.599,0.807,4,-4.679,1,0.0402,0.202,0.0,0.196,0.812,172.017
2011,79,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.609,90.99
2011,80,0.645,0.904,2,-4.532,1,0.0462,0.0293,0.0,0.0834,0.671,105.97
2011,81,0.484,0.78,5,-3.275,1,0.0312,0.0533,1.27e-06,0.507,0.311,140.758
2011,82,0.736,0.823,8,-4.231,1,0.0675,0.00358,0.000914,0.33,0.442,124.954
2011,83,0.595,0.923,7,-3.449,1,0.144,0.0693,0.0,0.505,0.782,125.029
2011,84,0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894
